,date,open,close,high,low,volume,code
1667,2016-11-24,222.882,226.612,226.682,221.102,39078.0,600519
1668,2016-11-25,226.722,226.572,227.682,223.102,22369.0,600519
1669,2016-11-28,227.232,229.182,229.862,226.282,49253.0,600519
1670,2016-11-29,230.382,233.642,240.132,229.092,58830.0,600519
1671,2016-11-30,230.902,228.762,232.982,228.132,26752.0,600519
1672,2016-12-01,229.682,230.702,234.272,228.362,27941.0,600519
1673,2016-12-02,230.682,231.452,232.882,228.682,30628.0,600519
1674,2016-12-05,228.882,225.612,234.222,225.502,42060.0,600519
1675,2016-12-06,225.912,236.102,236.262,225.912,38923.0,600519
1676,2016-12-07,236.802,237.132,238.182,233.652,25271.0,600519
1677,2016-12-08,237.692,247.392,249.682,236.682,54475.0,600519
1678,2016-12-09,246.882,247.442,249.102,243.702,34495.0,600519
1679,2016-12-12,247.382,236.542,249.682,235.382,50332.0,600519
1680,2016-12-13,236.522,242.692,244.682,235.182,41780.0,600519
1681,2016-12-14,242.682,241.952,243.752,238.182,32029.0,600519
1682,2016-12-15,242.142,237.732,242.672,235.262,39202.0,600519
1683,2016-12-16,236.682,237.262,239.562,233.262,25051.0,600519
1684,2016-12-19,235.682,235.642,244.052,235.292,30471.0,600519
1685,2016-12-20,235.722,236.162,236.682,231.492,30831.0,600519
1686,2016-12-21,236.582,238.342,238.972,233.242,24711.0,600519
1687,2016-12-22,237.682,234.882,238.142,234.562,14678.0,600519
1688,2016-12-23,233.232,229.712,234.182,228.812,31095.0,600519
1689,2016-12-26,228.712,234.162,234.672,225.882,26001.0,600519
1690,2016-12-27,234.192,235.842,238.482,233.182,20062.0,600519
1691,2016-12-28,236.672,233.402,237.682,233.012,17878.0,600519
1692,2016-12-29,233.682,236.992,237.552,232.682,21225.0,600519
1693,2016-12-30,236.292,243.832,244.972,236.292,34687.0,600519
1694,2017-01-03,243.962,244.242,246.682,242.492,20763.0,600519
1695,2017-01-04,244.302,261.592,261.852,244.282,65257.0,600519
1696,2017-01-05,259.682,256.422,261.132,255.122,41704.0,600519
1697,2017-01-06,256.322,260.442,269.462,255.782,68095.0,600519
1698,2017-01-09,257.482,258.192,262.562,256.222,35405.0,600519
1699,2017-01-10,258.132,258.682,261.682,256.282,31727.0,600519
1700,2017-01-11,257.682,255.132,257.682,253.182,23598.0,600519
1701,2017-01-12,256.232,256.732,257.082,254.192,17779.0,600519
1702,2017-01-13,256.662,254.552,257.072,253.562,18282.0,600519
1703,2017-01-16,253.812,251.152,254.482,248.482,36855.0,600519
1704,2017-01-17,252.282,258.812,261.182,251.682,35188.0,600519
1705,2017-01-18,258.562,264.762,266.452,256.892,46005.0,600519
1706,2017-01-19,264.682,264.402,268.162,261.382,28523.0,600519
1707,2017-01-20,264.582,264.672,267.082,262.712,21344.0,600519
1708,2017-01-23,266.562,260.902,269.482,259.142,32581.0,600519
1709,2017-01-24,260.952,259.992,262.482,256.432,26914.0,600519
1710,2017-01-25,259.662,257.312,259.662,255.882,22990.0,600519
1711,2017-01-26,257.822,254.102,258.482,250.982,37826.0,600519
1712,2017-02-03,255.682,256.532,258.862,254.682,20936.0,600519
1713,2017-02-06,258.172,256.532,258.572,254.642,15680.0,600519
1714,2017-02-07,256.522,253.262,257.082,252.822,20519.0,600519
1715,2017-02-08,253.442,253.892,255.182,252.352,19088.0,600519
1716,2017-02-09,254.682,257.292,258.472,254.292,23324.0,600519
1717,2017-02-10,258.302,254.762,259.502,254.682,24056.0,600519
1718,2017-02-13,253.682,259.432,261.582,251.602,53587.0,600519
1719,2017-02-14,259.222,259.892,262.282,258.782,26558.0,600519
1720,2017-02-15,261.182,258.212,262.122,256.882,26256.0,600519
1721,2017-02-16,258.182,257.772,258.302,255.192,17642.0,600519
1722,2017-02-17,258.582,260.242,264.122,257.182,29102.0,600519
1723,2017-02-20,260.092,270.972,272.002,259.692,61853.0,600519
1724,2017-02-21,271.562,268.422,272.112,266.862,27705.0,600519
1725,2017-02-22,270.292,271.572,276.202,269.682,37130.0,600519
1726,2017-02-23,270.652,271.382,275.162,269.442,23328.0,600519
1727,2017-02-24,271.682,272.302,272.572,269.732,17692.0,600519
1728,2017-02-27,272.172,266.882,272.532,266.482,25400.0,600519
1729,2017-02-28,266.682,264.342,268.882,263.262,27473.0,600519
1730,2017-03-01,264.782,266.292,267.882,264.682,21944.0,600519
1731,2017-03-02,266.392,266.502,266.682,264.212,22103.0,600519
1732,2017-03-03,264.682,266.222,267.902,264.682,14153.0,600519
1733,2017-03-06,267.342,268.642,269.222,266.232,22818.0,600519
1734,2017-03-07,267.712,276.882,278.562,267.712,46286.0,600519
1735,2017-03-08,276.862,276.962,278.172,275.182,16037.0,600519
1736,2017-03-09,276.682,279.582,279.662,275.242,23406.0,600519
1737,2017-03-10,279.602,279.532,286.682,278.042,40951.0,600519
1738,2017-03-13,279.732,281.232,284.012,277.212,27674.0,600519
1739,2017-03-14,281.232,279.182,283.532,278.022,20416.0,600519
1740,2017-03-15,279.182,284.362,284.832,278.692,25155.0,600519
1741,2017-03-16,286.242,284.452,287.982,282.482,25022.0,600519
1742,2017-03-17,282.782,288.162,294.132,282.782,34700.0,600519
1743,2017-03-20,290.182,296.092,296.392,288.562,31545.0,600519
1744,2017-03-21,296.232,303.692,306.182,296.182,48460.0,600519
1745,2017-03-22,300.212,304.162,304.282,294.682,45532.0,600519
1746,2017-03-23,301.712,299.472,303.672,296.282,34504.0,600519
1747,2017-03-24,302.002,296.502,302.902,294.682,33287.0,600519
1748,2017-03-27,295.712,288.502,298.942,288.072,53690.0,600519
1749,2017-03-28,289.632,289.942,290.832,286.342,41187.0,600519
1750,2017-03-29,290.692,293.332,295.482,289.582,37299.0,600519
1751,2017-03-30,292.682,295.822,296.572,292.282,31612.0,600519
1752,2017-03-31,295.882,296.042,297.682,293.862,24474.0,600519
1753,2017-04-05,295.342,299.342,304.672,294.682,40789.0,600519
1754,2017-04-06,298.692,301.592,302.682,296.312,28857.0,600519
1755,2017-04-07,302.672,302.552,303.682,299.282,24097.0,600519
1756,2017-04-10,303.682,298.882,303.682,297.682,28869.0,600519
1757,2017-04-11,297.732,294.972,300.382,290.282,43530.0,600519
1758,2017-04-12,294.972,299.912,300.682,294.482,27002.0,600519
1759,2017-04-13,300.462,308.072,308.272,300.192,45648.0,600519
1760,2017-04-14,309.112,305.132,309.562,304.682,23646.0,600519
1761,2017-04-17,300.682,305.472,307.962,298.232,28793.0,600519
1762,2017-04-18,304.282,314.332,316.232,304.282,49581.0,600519
1763,2017-04-19,312.682,315.422,318.782,312.542,37550.0,600519
1764,2017-04-20,315.772,324.992,330.112,315.772,50457.0,600519
1765,2017-04-21,324.682,310.212,325.282,309.682,49332.0,600519
1766,2017-04-24,310.302,308.232,314.682,298.682,50037.0,600519
1767,2017-04-25,314.482,328.572,329.852,314.482,76192.0,600519
1768,2017-04-26,328.532,327.642,338.362,322.692,56624.0,600519
1769,2017-04-27,325.212,331.122,331.652,320.112,28240.0,600519
1770,2017-04-28,331.672,323.162,332.682,319.582,49505.0,600519
1771,2017-05-02,321.282,321.762,324.682,318.862,23291.0,600519
1772,2017-05-03,320.682,327.292,327.342,320.682,20267.0,600519
1773,2017-05-04,324.312,325.682,328.162,324.312,26709.0,600519
